"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","price","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2416 N Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,534""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2416 N Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.665447,""longitude"":-117.08735},""url"":""https://www.zillow.com/homedetails/2416-N-Ave-National-City-CA-91950/17100231_zpid/""}","https://www.zillow.com/homedetails/2416-N-Ave-National-City-CA-91950/17100231_zpid/","2416 N Ave, National City, CA 91950","EXP REALTY OF CALIFORNIA, INC.","$715,000","- Sold","3","bds","2","ba","1,534","sqft","Sold 06/23/2021","https://www.zillow.com/homedetails/2416-N-Ave-National-City-CA-91950/17100231_zpid/","https://photos.zillowstatic.com/fp/bf498ab199a55ead4728347a3fed9199-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""339-41 W 16th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""967""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""339-41 W 16th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.668068,""longitude"":-117.1081},""url"":""https://www.zillow.com/homedetails/339-41-W-16th-St-National-City-CA-91950/82938561_zpid/""}","https://www.zillow.com/homedetails/339-41-W-16th-St-National-City-CA-91950/82938561_zpid/","339-41 W 16th St, National City, CA 91950","","$715,000","- Sold","3","bds","1","ba","967","sqft","Sold 03/02/2022","https://www.zillow.com/homedetails/339-41-W-16th-St-National-City-CA-91950/82938561_zpid/","https://photos.zillowstatic.com/fp/277443579916a911858d55d04ffd9496-p_e.jpg","Save this home"
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""339 W 16th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,300""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""339 W 16th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.668022,""longitude"":-117.10809},""url"":""https://www.zillow.com/homedetails/339-W-16th-St-National-City-CA-91950/337888916_zpid/""}","https://www.zillow.com/homedetails/339-W-16th-St-National-City-CA-91950/337888916_zpid/","339 W 16th St, National City, CA 91950","SHAWNA SCOTT, BROKER","$715,000","- Sold","3","bds","3","ba","1,300","sqft","Sold 03/02/2022","https://www.zillow.com/homedetails/339-W-16th-St-National-City-CA-91950/337888916_zpid/","https://photos.zillowstatic.com/fp/b6f3f4862e8942aeb94dedf4c1621a9a-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""339 W 16th St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,300""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""339 W 16th St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.668022,""longitude"":-117.10809},""url"":""https://www.zillow.com/homedetails/339-W-16th-St-National-City-CA-91950/2091919938_zpid/""}","https://www.zillow.com/homedetails/339-W-16th-St-National-City-CA-91950/2091919938_zpid/","339 W 16th St, National City, CA 91950","SHAWNA SCOTT, BROKER","$715,000","- Sold","3","bds","3","ba","1,300","sqft","Sold 03/02/2022","https://www.zillow.com/homedetails/339-W-16th-St-National-City-CA-91950/2091919938_zpid/","https://photos.zillowstatic.com/fp/047c53af2484568a0bf3d6bd7b703cb5-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3502 Fuentes Ct, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,734""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3502 Fuentes Ct"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.657288,""longitude"":-117.05804},""url"":""https://www.zillow.com/homedetails/3502-Fuentes-Ct-National-City-CA-91950/63660394_zpid/""}","https://www.zillow.com/homedetails/3502-Fuentes-Ct-National-City-CA-91950/63660394_zpid/","3502 Fuentes Ct, National City, CA 91950","GENSTONE INC.","$710,000","- Sold","3","bds","3","ba","1,734","sqft","Sold 08/26/2022","https://www.zillow.com/homedetails/3502-Fuentes-Ct-National-City-CA-91950/63660394_zpid/","https://photos.zillowstatic.com/fp/b73d7fa19d9910cd87f616c87b186717-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3404 Paseo De Fuentes, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,463""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3404 Paseo De Fuentes"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.65688,""longitude"":-117.05954},""url"":""https://www.zillow.com/homedetails/3404-Paseo-De-Fuentes-National-City-CA-91950/63660434_zpid/""}","https://www.zillow.com/homedetails/3404-Paseo-De-Fuentes-National-City-CA-91950/63660434_zpid/","3404 Paseo De Fuentes, National City, CA 91950","BIG BLOCK REALTY, INC.","$710,000","- Sold","3","bds","3","ba","1,463","sqft","Sold 06/07/2022","https://www.zillow.com/homedetails/3404-Paseo-De-Fuentes-National-City-CA-91950/63660434_zpid/","https://photos.zillowstatic.com/fp/424a6293b39daa1010190378b0dc88dc-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2547 Ridgeway Dr, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,572""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2547 Ridgeway Dr"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.667088,""longitude"":-117.07581},""url"":""https://www.zillow.com/homedetails/2547-Ridgeway-Dr-National-City-CA-91950/17100948_zpid/""}","https://www.zillow.com/homedetails/2547-Ridgeway-Dr-National-City-CA-91950/17100948_zpid/","2547 Ridgeway Dr, National City, CA 91950","KELLER WILLIAMS LA JOLLA","$706,000","- Sold","3","bds","3","ba","1,572","sqft","Sold 06/07/2022","https://www.zillow.com/homedetails/2547-Ridgeway-Dr-National-City-CA-91950/17100948_zpid/","https://photos.zillowstatic.com/fp/ac0f584aee08e44d1d84bb5f9544a348-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3429 Newberry St, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,725""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3429 Newberry St"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.66187,""longitude"":-117.06207},""url"":""https://www.zillow.com/homedetails/3429-Newberry-St-National-City-CA-91950/17101781_zpid/""}","https://www.zillow.com/homedetails/3429-Newberry-St-National-City-CA-91950/17101781_zpid/","3429 Newberry St, National City, CA 91950","CENTURY 21 AWARD","$705,000","- Sold","3","bds","2","ba","1,725","sqft","Sold 10/12/2021","https://www.zillow.com/homedetails/3429-Newberry-St-National-City-CA-91950/17101781_zpid/","https://photos.zillowstatic.com/fp/950f20a4f58fea0908b8bc1216a9760c-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""27 S Drexel Ave, National City, CA 91950"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,006""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""27 S Drexel Ave"",""addressLocality"":""National City"",""addressRegion"":""CA"",""postalCode"":""91950""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.69045,""longitude"":-117.07997},""url"":""https://www.zillow.com/homedetails/27-S-Drexel-Ave-National-City-CA-91950/17095366_zpid/""}","https://www.zillow.com/homedetails/27-S-Drexel-Ave-National-City-CA-91950/17095366_zpid/","27 S Drexel Ave, National City, CA 91950","EXP REALTY","$700,000","- Sold","3","bds","2","ba","1,006","sqft","Sold 04/08/2022","https://www.zillow.com/homedetails/27-S-Drexel-Ave-National-City-CA-91950/17095366_zpid/","https://photos.zillowstatic.com/fp/34fea8573956c7286da501f951cf25c0-p_e.jpg","Save this home"
