"ListItem-c11n-8-85-1__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 2","price","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-85-1__sc-6gojrl-0","property-card-link href","Image-c11n-8-85-1__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-85-1__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""124 Breakwater Rd, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,033""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""124 Breakwater Rd"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.10655,""longitude"":-117.31892},""url"":""https://www.zillow.com/homedetails/124-Breakwater-Rd-Carlsbad-CA-92011/54654226_zpid/""}","https://www.zillow.com/homedetails/124-Breakwater-Rd-Carlsbad-CA-92011/54654226_zpid/","124 Breakwater Rd, Carlsbad, CA 92011","PACIFIC SOTHEBY'S INT'L REALTY","$1.52M","- Sold","3","bds","3","ba","2,033","sqft","Sold 09/03/2020","https://www.zillow.com/homedetails/124-Breakwater-Rd-Carlsbad-CA-92011/54654226_zpid/","https://photos.zillowstatic.com/fp/d86bfe4cf5a5ffc6f9db358b06bd4964-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6793 Encelia Pl, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,048""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6793 Encelia Pl"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.10968,""longitude"":-117.278145},""url"":""https://www.zillow.com/homedetails/6793-Encelia-Pl-Carlsbad-CA-92011/333878768_zpid/""}","https://www.zillow.com/homedetails/6793-Encelia-Pl-Carlsbad-CA-92011/333878768_zpid/","6793 Encelia Pl, Carlsbad, CA 92011","SHAFRAN REALTY GROUP","$1.51M","- Sold","3","bds","3","ba","2,048","sqft","Sold 04/08/2022","https://www.zillow.com/homedetails/6793-Encelia-Pl-Carlsbad-CA-92011/333878768_zpid/","https://photos.zillowstatic.com/fp/5910572a1cbc25262d41dfa91a74d26c-p_e.jpg","Save this home"
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6779 Caurina Ct, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,640""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6779 Caurina Ct"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.10524,""longitude"":-117.28572},""url"":""https://www.zillow.com/homedetails/6779-Caurina-Ct-Carlsbad-CA-92011/60281283_zpid/""}","https://www.zillow.com/homedetails/6779-Caurina-Ct-Carlsbad-CA-92011/60281283_zpid/","6779 Caurina Ct, Carlsbad, CA 92011","REDFIN CORPORATION","$1.51M","- Sold","3","bds","3","ba","2,640","sqft","Sold 04/11/2022","https://www.zillow.com/homedetails/6779-Caurina-Ct-Carlsbad-CA-92011/60281283_zpid/","https://photos.zillowstatic.com/fp/4a53637e9801dc811d1162fe38b34721-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7479 Neptune Dr, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,074""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7479 Neptune Dr"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.093525,""longitude"":-117.30662},""url"":""https://www.zillow.com/homedetails/7479-Neptune-Dr-Carlsbad-CA-92011/54903127_zpid/""}","https://www.zillow.com/homedetails/7479-Neptune-Dr-Carlsbad-CA-92011/54903127_zpid/","7479 Neptune Dr, Carlsbad, CA 92011","SHAFRAN REALTY GROUP","$1.50M","- Sold","3","bds","3","ba","2,074","sqft","Sold 07/25/2022","https://www.zillow.com/homedetails/7479-Neptune-Dr-Carlsbad-CA-92011/54903127_zpid/","https://photos.zillowstatic.com/fp/e0f8e03db9a1184f0697e25f6c311416-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7205 Wisteria Way, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,946""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7205 Wisteria Way"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.100697,""longitude"":-117.300606},""url"":""https://www.zillow.com/homedetails/7205-Wisteria-Way-Carlsbad-CA-92011/16652655_zpid/""}","https://www.zillow.com/homedetails/7205-Wisteria-Way-Carlsbad-CA-92011/16652655_zpid/","7205 Wisteria Way, Carlsbad, CA 92011","","$1.50M","- Sold","3","bds","2","ba","1,946","sqft","Sold 12/21/2020","https://www.zillow.com/homedetails/7205-Wisteria-Way-Carlsbad-CA-92011/16652655_zpid/","https://photos.zillowstatic.com/fp/29beb5b22a955738a7997ca66291473e-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""914 Begonia Ct, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,766""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""914 Begonia Ct"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.09968,""longitude"":-117.30264},""url"":""https://www.zillow.com/homedetails/914-Begonia-Ct-Carlsbad-CA-92011/16652884_zpid/""}","https://www.zillow.com/homedetails/914-Begonia-Ct-Carlsbad-CA-92011/16652884_zpid/","914 Begonia Ct, Carlsbad, CA 92011","GET SMART PROPERTIES","$1.50M","- Sold","3","bds","2","ba","1,766","sqft","Sold 09/09/2021","https://www.zillow.com/homedetails/914-Begonia-Ct-Carlsbad-CA-92011/16652884_zpid/","https://photos.zillowstatic.com/fp/915ad3b36b3f723165f19f2df0a79b3f-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7435 Neptune Dr, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,074""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7435 Neptune Dr"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.09529,""longitude"":-117.30662},""url"":""https://www.zillow.com/homedetails/7435-Neptune-Dr-Carlsbad-CA-92011/54903120_zpid/""}","https://www.zillow.com/homedetails/7435-Neptune-Dr-Carlsbad-CA-92011/54903120_zpid/","7435 Neptune Dr, Carlsbad, CA 92011","REALI","$1.50M","- Sold","3","bds","3","ba","2,074","sqft","Sold 08/02/2022","https://www.zillow.com/homedetails/7435-Neptune-Dr-Carlsbad-CA-92011/54903120_zpid/","https://photos.zillowstatic.com/fp/23d1d37e7a37a7a59c8cf40573846c63-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7399 Seafarer Pl, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,691""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7399 Seafarer Pl"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.094727,""longitude"":-117.31128},""url"":""https://www.zillow.com/homedetails/7399-Seafarer-Pl-Carlsbad-CA-92011/16662080_zpid/""}","https://www.zillow.com/homedetails/7399-Seafarer-Pl-Carlsbad-CA-92011/16662080_zpid/","7399 Seafarer Pl, Carlsbad, CA 92011","COLDWELL BANKER REALTY","$1.49M","- Sold","3","bds","3","ba","1,691","sqft","Sold 01/25/2022","https://www.zillow.com/homedetails/7399-Seafarer-Pl-Carlsbad-CA-92011/16662080_zpid/","https://photos.zillowstatic.com/fp/c6a391d30ea3f8497a0d17743729a68d-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7100 Surfbird Cir, Carlsbad, CA 92011"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,104""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7100 Surfbird Cir"",""addressLocality"":""Carlsbad"",""addressRegion"":""CA"",""postalCode"":""92011""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":33.103313,""longitude"":-117.2869},""url"":""https://www.zillow.com/homedetails/7100-Surfbird-Cir-Carlsbad-CA-92011/52507063_zpid/""}","https://www.zillow.com/homedetails/7100-Surfbird-Cir-Carlsbad-CA-92011/52507063_zpid/","7100 Surfbird Cir, Carlsbad, CA 92011","PACIFIC SOTHEBY'S INT'L REALTY","$1.48M","- Sold","3","bds","3","ba","2,104","sqft","Sold 06/17/2022","https://www.zillow.com/homedetails/7100-Surfbird-Cir-Carlsbad-CA-92011/52507063_zpid/","https://photos.zillowstatic.com/fp/44ddeeadad9889925b9dac4143d9f95d-p_e.jpg","Save this home"
