"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","price","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13754 Mango Dr Unit 302, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""804""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13754 Mango Dr UNIT 302"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.949257,""longitude"":-117.24742},""url"":""https://www.zillow.com/homedetails/13754-Mango-Dr-UNIT-302-Del-Mar-CA-92014/16764322_zpid/""}","https://www.zillow.com/homedetails/13754-Mango-Dr-UNIT-302-Del-Mar-CA-92014/16764322_zpid/","13754 Mango Dr UNIT 302, Del Mar, CA 92014","BERKSHIRE HATHAWAY HOMESERVICE","$685,000","- Sold","2","bds","2","ba","804","sqft","Sold 01/25/2023","https://photos.zillowstatic.com/fp/7c152fd680d51181436b5e51637a297c-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13757 Mango Dr, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""983""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13757 Mango Dr"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.947994,""longitude"":-117.247025},""url"":""https://www.zillow.com/homedetails/13757-Mango-Dr-Del-Mar-CA-92014/16765763_zpid/""}","https://www.zillow.com/homedetails/13757-Mango-Dr-Del-Mar-CA-92014/16765763_zpid/","13757 Mango Dr, Del Mar, CA 92014","BIG BLOCK REALTY, INC.","$752,700","- Sold","2","bds","2","ba","983","sqft","Sold 12/09/2022","https://photos.zillowstatic.com/fp/a8a45e897380e6c8bb365316b34d92e0-p_e.jpg","Save this home"
"","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13785 Mango Dr, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""983""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13785 Mango Dr"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.947914,""longitude"":-117.247025},""url"":""https://www.zillow.com/homedetails/13785-Mango-Dr-Del-Mar-CA-92014/16765737_zpid/""}","https://www.zillow.com/homedetails/13785-Mango-Dr-Del-Mar-CA-92014/16765737_zpid/","13785 Mango Dr, Del Mar, CA 92014","COLDWELL BANKER WEST","$755,000","- Sold","2","bds","2","ba","983","sqft","Sold 11/14/2022","https://photos.zillowstatic.com/fp/75840923723bbea4b4f0033407a4461d-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13734 Ruette Le Parc Unit A, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,164""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13734 Ruette Le Parc UNIT A"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.948532,""longitude"":-117.24529},""url"":""https://www.zillow.com/homedetails/13734-Ruette-Le-Parc-UNIT-A-Del-Mar-CA-92014/16765676_zpid/""}","https://www.zillow.com/homedetails/13734-Ruette-Le-Parc-UNIT-A-Del-Mar-CA-92014/16765676_zpid/","13734 Ruette Le Parc UNIT A, Del Mar, CA 92014","COMPASS","$749,000","- Sold","2","bds","2","ba","1,164","sqft","Sold 11/08/2022","https://photos.zillowstatic.com/fp/f6fcee6c7f043cd785ffc232c6ac7566-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""12946 Caminito De Las Olas, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,764""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""12946 Caminito De Las Olas"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.936077,""longitude"":-117.25365},""url"":""https://www.zillow.com/homedetails/12946-Caminito-De-Las-Olas-Del-Mar-CA-92014/16766244_zpid/""}","https://www.zillow.com/homedetails/12946-Caminito-De-Las-Olas-Del-Mar-CA-92014/16766244_zpid/","12946 Caminito De Las Olas, Del Mar, CA 92014","WILLIS ALLEN REAL ESTATE","$2.10M","- Sold","2","bds","2","ba","1,764","sqft","Sold 10/25/2022","https://photos.zillowstatic.com/fp/096b718988f288ece2a032a340464008-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""13038 Caminito Del Rocio, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,655""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""13038 Caminito Del Rocio"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.93724,""longitude"":-117.2563},""url"":""https://www.zillow.com/homedetails/13038-Caminito-Del-Rocio-Del-Mar-CA-92014/16765889_zpid/""}","https://www.zillow.com/homedetails/13038-Caminito-Del-Rocio-Del-Mar-CA-92014/16765889_zpid/","13038 Caminito Del Rocio, Del Mar, CA 92014","","$1.55M","- Sold","2","bds","2","ba","1,655","sqft","Sold 10/14/2022","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=32.93724060058594,-117.25630187988281&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=ph-Dbjq8-_rSG5EJ8-9U4v_yE0g=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""250 Dolphin Cove Ct, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,400""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""250 Dolphin Cove Ct"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.94615,""longitude"":-117.26183},""url"":""https://www.zillow.com/homedetails/250-Dolphin-Cove-Ct-Del-Mar-CA-92014/16763861_zpid/""}","https://www.zillow.com/homedetails/250-Dolphin-Cove-Ct-Del-Mar-CA-92014/16763861_zpid/","250 Dolphin Cove Ct, Del Mar, CA 92014","DEL MAR REALTY ASSOC.,INC","$1.35M","- Sold","2","bds","2","ba","1,400","sqft","Sold 10/11/2022","https://photos.zillowstatic.com/fp/7745b8b9390e3ab5f069e0bc0067bd4e-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""460 Camino Del Mar Apt 14, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""829""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""460 Camino Del Mar APT 14"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.949005,""longitude"":-117.26186},""url"":""https://www.zillow.com/homedetails/460-Camino-Del-Mar-APT-14-Del-Mar-CA-92014/16763727_zpid/""}","https://www.zillow.com/homedetails/460-Camino-Del-Mar-APT-14-Del-Mar-CA-92014/16763727_zpid/","460 Camino Del Mar APT 14, Del Mar, CA 92014","CHARNHOLM & ASSOCIATES","$1.05M","- Sold","2","bds","1","ba","829","sqft","Sold 09/27/2022","https://photos.zillowstatic.com/fp/ac89f66f263b5af3f935b9916d8748db-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4519 South Ln, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,831""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4519 South Ln"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.987793,""longitude"":-117.23749},""url"":""https://www.zillow.com/homedetails/4519-South-Ln-Del-Mar-CA-92014/111435316_zpid/""}","https://www.zillow.com/homedetails/4519-South-Ln-Del-Mar-CA-92014/111435316_zpid/","4519 South Ln, Del Mar, CA 92014","","$2.80M","- Sold","2","bds","2","ba","1,831","sqft","Sold 09/06/2022","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.98779296875,-117.23748779296875&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=ihk-sweMDikzWQ8THlXEd8qYc90=","Save this home"
