"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""12850 Via Grimaldi, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,611""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""12850 Via Grimaldi"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.934177,""longitude"":-117.24917},""url"":""https://www.zillow.com/homedetails/12850-Via-Grimaldi-Del-Mar-CA-92014/16765200_zpid/""}","https://www.zillow.com/homedetails/12850-Via-Grimaldi-Del-Mar-CA-92014/16765200_zpid/","12850 Via Grimaldi, Del Mar, CA 92014","COMPASS","$3.10M","- Sold","3","bds","4","ba","2,611","sqft","Sold 06/14/2022","https://photos.zillowstatic.com/fp/2691576881edea9c926b88dc8b98562a-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""346 10th St, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,302""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""346 10th St"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.95497,""longitude"":-117.26247},""url"":""https://www.zillow.com/homedetails/346-10th-St-Del-Mar-CA-92014/94695047_zpid/""}","https://www.zillow.com/homedetails/346-10th-St-Del-Mar-CA-92014/94695047_zpid/","346 10th St, Del Mar, CA 92014","DAVE STUBBS REAL ESTATE, INC","$3.05M","- Sold","3","bds","3","ba","2,302","sqft","Sold 09/08/2021","https://photos.zillowstatic.com/fp/be475c8aaaf559db8c8a2c94648dda07-p_e.jpg","Save this home"
"","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""14735 Caminito Porta Delgada, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,022""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""14735 Caminito Porta Delgada"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.981903,""longitude"":-117.22021},""url"":""https://www.zillow.com/homedetails/14735-Caminito-Porta-Delgada-Del-Mar-CA-92014/16767756_zpid/""}","https://www.zillow.com/homedetails/14735-Caminito-Porta-Delgada-Del-Mar-CA-92014/16767756_zpid/","14735 Caminito Porta Delgada, Del Mar, CA 92014","KELLER WILLIAMS REALTY","$2.95M","- Sold","3","bds","4","ba","3,022","sqft","Sold 10/03/2022","https://photos.zillowstatic.com/fp/e936f1115dbe038d8e38646a56998260-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2144 Cordero Rd, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,167""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2144 Cordero Rd"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.946953,""longitude"":-117.25803},""url"":""https://www.zillow.com/homedetails/2144-Cordero-Rd-Del-Mar-CA-92014/16764026_zpid/""}","https://www.zillow.com/homedetails/2144-Cordero-Rd-Del-Mar-CA-92014/16764026_zpid/","2144 Cordero Rd, Del Mar, CA 92014","COMPASS","$2.90M","- Sold","3","bds","4","ba","3,167","sqft","Sold 12/07/2020","https://photos.zillowstatic.com/fp/8f82e2adfe1004e975c818d7230edce2-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""155 Sherrie Ln, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,949""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""155 Sherrie Ln"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.950016,""longitude"":-117.26365},""url"":""https://www.zillow.com/homedetails/155-Sherrie-Ln-Del-Mar-CA-92014/16763082_zpid/""}","https://www.zillow.com/homedetails/155-Sherrie-Ln-Del-Mar-CA-92014/16763082_zpid/","155 Sherrie Ln, Del Mar, CA 92014","COMPASS","$2.87M","- Sold","3","bds","3","ba","1,949","sqft","Sold 10/29/2021","https://photos.zillowstatic.com/fp/6fb7c27445f92833d8909cb09c7a0d21-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""149-51 10th St, Louisville, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,580""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""149-51 10th St"",""addressLocality"":""Louisville"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.953583,""longitude"":-117.26519},""url"":""https://www.zillow.com/homedetails/149-51-10th-St-Louisville-CA-92014/16763031_zpid/""}","https://www.zillow.com/homedetails/149-51-10th-St-Louisville-CA-92014/16763031_zpid/","149-51 10th St, Louisville, CA 92014","","$2.86M","- Sold","3","bds","4","ba","2,580","sqft","Sold 09/21/2020","https://photos.zillowstatic.com/fp/08631ceb4501710cb9ea31d560cdc10a-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""149 10th St, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,450""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""149 10th St"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.953636,""longitude"":-117.26522},""url"":""https://www.zillow.com/homedetails/149-10th-St-Del-Mar-CA-92014/2077322054_zpid/""}","https://www.zillow.com/homedetails/149-10th-St-Del-Mar-CA-92014/2077322054_zpid/","149 10th St, Del Mar, CA 92014","","$2.86M","- Sold","3","bds","2.5","ba","2,450","sqft","Sold 09/21/2020","https://photos.zillowstatic.com/fp/b05d9ea418dedbdddde66a6d497a9b23-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""717 Stratford Ct, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,150""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""717 Stratford Ct"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.95138,""longitude"":-117.26372},""url"":""https://www.zillow.com/homedetails/717-Stratford-Ct-Del-Mar-CA-92014/16763120_zpid/""}","https://www.zillow.com/homedetails/717-Stratford-Ct-Del-Mar-CA-92014/16763120_zpid/","717 Stratford Ct, Del Mar, CA 92014","","$2.86M","- Sold","3","bds","3","ba","2,150","sqft","Sold 04/02/2021","https://photos.zillowstatic.com/fp/4221ceaa3650a69c1e375ca8243ae72d-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2925 Sandy Pointe Unit 12, Del Mar, CA 92014"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,725""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2925 Sandy Pointe UNIT 12"",""addressLocality"":""Del Mar"",""addressRegion"":""CA"",""postalCode"":""92014""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.97312,""longitude"":-117.268005},""url"":""https://www.zillow.com/homedetails/2925-Sandy-Pointe-UNIT-12-Del-Mar-CA-92014/16761982_zpid/""}","https://www.zillow.com/homedetails/2925-Sandy-Pointe-UNIT-12-Del-Mar-CA-92014/16761982_zpid/","2925 Sandy Pointe UNIT 12, Del Mar, CA 92014","FIRST TEAM REAL ESTATE","$2.85M","- Sold","3","bds","3","ba","1,725","sqft","Sold 03/16/2022","https://photos.zillowstatic.com/fp/757387a1823ecf22576668f3c8b9048a-p_e.jpg","Save this home"
