"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11610 Brixie Ct, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,470""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11610 Brixie Ct"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/11610-Brixie-Ct-El-Cajon-CA-92020/2063178714_zpid/""}","https://www.zillow.com/homedetails/11610-Brixie-Ct-El-Cajon-CA-92020/2063178714_zpid/","11610 Brixie Ct, El Cajon, CA 92020","SHEA ADVANTAGE","$1.89M","- Sold","3","bds","4","ba","3,470","sqft","Sold 07/22/2022","https://www.zillow.com/homedetails/11610-Brixie-Ct-El-Cajon-CA-92020/2063178714_zpid/","https://photos.zillowstatic.com/fp/32dea27a9998c16c5e6205383aa9e439-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11432 Rolling Hills Dr, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,225""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11432 Rolling Hills Dr"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.76988,""longitude"":-116.94375},""url"":""https://www.zillow.com/homedetails/11432-Rolling-Hills-Dr-El-Cajon-CA-92020/17037699_zpid/""}","https://www.zillow.com/homedetails/11432-Rolling-Hills-Dr-El-Cajon-CA-92020/17037699_zpid/","11432 Rolling Hills Dr, El Cajon, CA 92020","REALTY EXECUTIVES DILLON","$1.48M","- Sold","3","bds","3","ba","3,225","sqft","Sold 11/22/2021","https://www.zillow.com/homedetails/11432-Rolling-Hills-Dr-El-Cajon-CA-92020/17037699_zpid/","https://photos.zillowstatic.com/fp/5f6c209ba7a321f0e02f79206a8d5b88-p_e.jpg","Save this home"
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1760 Hacienda Pl, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,297""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1760 Hacienda Pl"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.81917,""longitude"":-116.98906},""url"":""https://www.zillow.com/homedetails/1760-Hacienda-Pl-El-Cajon-CA-92020/16889936_zpid/""}","https://www.zillow.com/homedetails/1760-Hacienda-Pl-El-Cajon-CA-92020/16889936_zpid/","1760 Hacienda Pl, El Cajon, CA 92020","REALTY SOURCE INC","$1.43M","- Sold","3","bds","3","ba","2,297","sqft","Sold 06/24/2022","https://www.zillow.com/homedetails/1760-Hacienda-Pl-El-Cajon-CA-92020/16889936_zpid/","https://photos.zillowstatic.com/fp/c8e4ad20b09bf3a0d1e2ac4a7e328d46-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11959 Fuerte Dr, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,478""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11959 Fuerte Dr"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.766438,""longitude"":-116.94067},""url"":""https://www.zillow.com/homedetails/11959-Fuerte-Dr-El-Cajon-CA-92020/17037408_zpid/""}","https://www.zillow.com/homedetails/11959-Fuerte-Dr-El-Cajon-CA-92020/17037408_zpid/","11959 Fuerte Dr, El Cajon, CA 92020","COMPASS","$1.40M","- Sold","3","bds","4","ba","3,478","sqft","Sold 11/19/2021","https://www.zillow.com/homedetails/11959-Fuerte-Dr-El-Cajon-CA-92020/17037408_zpid/","https://photos.zillowstatic.com/fp/e3c7132fc6f007ecdf8422a3419cb0de-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1354 Windridge Dr, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,801""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1354 Windridge Dr"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.77931,""longitude"":-116.935555},""url"":""https://www.zillow.com/homedetails/1354-Windridge-Dr-El-Cajon-CA-92020/17054300_zpid/""}","https://www.zillow.com/homedetails/1354-Windridge-Dr-El-Cajon-CA-92020/17054300_zpid/","1354 Windridge Dr, El Cajon, CA 92020","REDFIN CORPORATION","$1.35M","- Sold","3","bds","3","ba","2,801","sqft","Sold 03/09/2022","https://www.zillow.com/homedetails/1354-Windridge-Dr-El-Cajon-CA-92020/17054300_zpid/","https://photos.zillowstatic.com/fp/ca1f15365427b08ed7d91b49ed058b49-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1188 Crystal Ln, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,431""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1188 Crystal Ln"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.779198,""longitude"":-116.94014},""url"":""https://www.zillow.com/homedetails/1188-Crystal-Ln-El-Cajon-CA-92020/17032604_zpid/""}","https://www.zillow.com/homedetails/1188-Crystal-Ln-El-Cajon-CA-92020/17032604_zpid/","1188 Crystal Ln, El Cajon, CA 92020","COLDWELL BANKER REALTY","$1.29M","- Sold","3","bds","2","ba","2,431","sqft","Sold 02/08/2022","https://www.zillow.com/homedetails/1188-Crystal-Ln-El-Cajon-CA-92020/17032604_zpid/","https://photos.zillowstatic.com/fp/f6b132beaad4aaae140585d70f3e78da-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4845 Edgeview Dr, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,187""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4845 Edgeview Dr"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.767185,""longitude"":-116.95454},""url"":""https://www.zillow.com/homedetails/4845-Edgeview-Dr-El-Cajon-CA-92020/17036375_zpid/""}","https://www.zillow.com/homedetails/4845-Edgeview-Dr-El-Cajon-CA-92020/17036375_zpid/","4845 Edgeview Dr, El Cajon, CA 92020","COLDWELL BANKER WEST","$1.25M","- Sold","3","bds","2","ba","2,187","sqft","Sold 04/15/2022","https://www.zillow.com/homedetails/4845-Edgeview-Dr-El-Cajon-CA-92020/17036375_zpid/","https://photos.zillowstatic.com/fp/9b1b0c2194f1f16ff5d9f4ad05be17b5-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1970 Woodglen Way, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,335""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1970 Woodglen Way"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.814285,""longitude"":-116.99129},""url"":""https://www.zillow.com/homedetails/1970-Woodglen-Way-El-Cajon-CA-92020/16890037_zpid/""}","https://www.zillow.com/homedetails/1970-Woodglen-Way-El-Cajon-CA-92020/16890037_zpid/","1970 Woodglen Way, El Cajon, CA 92020","ALLISON JAMES ESTATES & HOMES","$1.20M","- Sold","3","bds","3","ba","2,335","sqft","Sold 02/18/2022","https://www.zillow.com/homedetails/1970-Woodglen-Way-El-Cajon-CA-92020/16890037_zpid/","https://photos.zillowstatic.com/fp/56a7efa1ec42e5e333eb95474a5649ad-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1962 Altozano Dr, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,048""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1962 Altozano Dr"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.8212,""longitude"":-116.99465},""url"":""https://www.zillow.com/homedetails/1962-Altozano-Dr-El-Cajon-CA-92020/16890561_zpid/""}","https://www.zillow.com/homedetails/1962-Altozano-Dr-El-Cajon-CA-92020/16890561_zpid/","1962 Altozano Dr, El Cajon, CA 92020","BEST HOMES TEAM","$1.17M","- Sold","3","bds","2","ba","2,048","sqft","Sold 08/30/2021","https://www.zillow.com/homedetails/1962-Altozano-Dr-El-Cajon-CA-92020/16890561_zpid/","https://photos.zillowstatic.com/fp/07202aaf3d1f073aab453a941f8e4033-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""525 Aldwych Rd, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,992""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""525 Aldwych Rd"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.801365,""longitude"":-116.98955},""url"":""https://www.zillow.com/homedetails/525-Aldwych-Rd-El-Cajon-CA-92020/17018779_zpid/""}","https://www.zillow.com/homedetails/525-Aldwych-Rd-El-Cajon-CA-92020/17018779_zpid/","525 Aldwych Rd, El Cajon, CA 92020","COMPASS","$1.16M","- Sold","3","bds","2","ba","1,992","sqft","Sold 07/29/2022","https://www.zillow.com/homedetails/525-Aldwych-Rd-El-Cajon-CA-92020/17018779_zpid/","https://photos.zillowstatic.com/fp/8a6b9c3399c817d022a4ea45921d0a95-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4905 Sunrise Hills Dr, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,144""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4905 Sunrise Hills Dr"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.768143,""longitude"":-116.9463},""url"":""https://www.zillow.com/homedetails/4905-Sunrise-Hills-Dr-El-Cajon-CA-92020/17037497_zpid/""}","https://www.zillow.com/homedetails/4905-Sunrise-Hills-Dr-El-Cajon-CA-92020/17037497_zpid/","4905 Sunrise Hills Dr, El Cajon, CA 92020","","$1.15M","- Sold","3","bds","3","ba","2,144","sqft","Sold 09/07/2022","https://www.zillow.com/homedetails/4905-Sunrise-Hills-Dr-El-Cajon-CA-92020/17037497_zpid/","https://photos.zillowstatic.com/fp/0ab9a3893307390b5f89428af8159409-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1625 Kimberly Woods Dr, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,340""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1625 Kimberly Woods Dr"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.773457,""longitude"":-116.97043},""url"":""https://www.zillow.com/homedetails/1625-Kimberly-Woods-Dr-El-Cajon-CA-92020/52519099_zpid/""}","https://www.zillow.com/homedetails/1625-Kimberly-Woods-Dr-El-Cajon-CA-92020/52519099_zpid/","1625 Kimberly Woods Dr, El Cajon, CA 92020","ANDREWS REALTY, INC.","$1.13M","- Sold","3","bds","4","ba","3,340","sqft","Sold 03/17/2021","https://www.zillow.com/homedetails/1625-Kimberly-Woods-Dr-El-Cajon-CA-92020/52519099_zpid/","https://photos.zillowstatic.com/fp/542fe1fd608a4a793bd46fb176f85a2b-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""261 Horizon Hills Dr, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,195""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""261 Horizon Hills Dr"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.769024,""longitude"":-116.96013},""url"":""https://www.zillow.com/homedetails/261-Horizon-Hills-Dr-El-Cajon-CA-92020/17036879_zpid/""}","https://www.zillow.com/homedetails/261-Horizon-Hills-Dr-El-Cajon-CA-92020/17036879_zpid/","261 Horizon Hills Dr, El Cajon, CA 92020","COLDWELL BANKER WEST","$1.10M","- Sold","3","bds","4","ba","2,195","sqft","Sold 06/21/2022","https://www.zillow.com/homedetails/261-Horizon-Hills-Dr-El-Cajon-CA-92020/17036879_zpid/","https://photos.zillowstatic.com/fp/71ce78539a5f1c3a587d8500e1364e33-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""11220 Horizon Hills Dr, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,335""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""11220 Horizon Hills Dr"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.7729,""longitude"":-116.94727},""url"":""https://www.zillow.com/homedetails/11220-Horizon-Hills-Dr-El-Cajon-CA-92020/17037286_zpid/""}","https://www.zillow.com/homedetails/11220-Horizon-Hills-Dr-El-Cajon-CA-92020/17037286_zpid/","11220 Horizon Hills Dr, El Cajon, CA 92020","AARE","$1.10M","- Sold","3","bds","2","ba","2,335","sqft","Sold 05/02/2022","https://www.zillow.com/homedetails/11220-Horizon-Hills-Dr-El-Cajon-CA-92020/17037286_zpid/","https://photos.zillowstatic.com/fp/35f34a08094c2b1f43c4e063ef56159d-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1080 Merritt Ln, El Cajon, CA 92020"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,921""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1080 Merritt Ln"",""addressLocality"":""El Cajon"",""addressRegion"":""CA"",""postalCode"":""92020""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.778133,""longitude"":-116.938515},""url"":""https://www.zillow.com/homedetails/1080-Merritt-Ln-El-Cajon-CA-92020/17032633_zpid/""}","https://www.zillow.com/homedetails/1080-Merritt-Ln-El-Cajon-CA-92020/17032633_zpid/","1080 Merritt Ln, El Cajon, CA 92020","EXP REALTY","$1.09M","- Sold","3","bds","2","ba","1,921","sqft","Sold 01/23/2023","https://www.zillow.com/homedetails/1080-Merritt-Ln-El-Cajon-CA-92020/17032633_zpid/","https://photos.zillowstatic.com/fp/c72b5f1e0e1fd501ba5798ff8c3757c4-p_e.jpg","Save this home"
