"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1437 Virginia Way, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,500""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1437 Virginia Way"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.845657,""longitude"":-117.26688},""url"":""https://www.zillow.com/homedetails/1437-Virginia-Way-La-Jolla-CA-92037/16848430_zpid/""}","https://www.zillow.com/homedetails/1437-Virginia-Way-La-Jolla-CA-92037/16848430_zpid/","1437 Virginia Way, La Jolla, CA 92037","$3.95M","- Sold","3","bds","3","ba","2,500","sqft","Sold 06/04/2021","https://www.zillow.com/homedetails/1437-Virginia-Way-La-Jolla-CA-92037/16848430_zpid/","https://photos.zillowstatic.com/fp/f539e19a3518741f1a42a45b402d9aaf-p_e.jpg","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""939 Coast Blvd Unit 15b, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,778""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""939 Coast Blvd UNIT 15B"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.847897,""longitude"":-117.2762},""url"":""https://www.zillow.com/homedetails/939-Coast-Blvd-UNIT-15B-La-Jolla-CA-92037/65238945_zpid/""}","https://www.zillow.com/homedetails/939-Coast-Blvd-UNIT-15B-La-Jolla-CA-92037/65238945_zpid/","939 Coast Blvd UNIT 15B, La Jolla, CA 92037","$3.90M","- Sold","3","bds","4","ba","3,778","sqft","Sold 09/23/2021","https://www.zillow.com/homedetails/939-Coast-Blvd-UNIT-15B-La-Jolla-CA-92037/65238945_zpid/","https://photos.zillowstatic.com/fp/f9aecb1989b4aedf1941d8af3c454b6d-p_e.jpg","Save this home",""
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""939 Coast Blvd #15bc, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,778""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""939 Coast Blvd #15BC"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/939-Coast-Blvd-15BC-La-Jolla-CA-92037/2082616689_zpid/""}","https://www.zillow.com/homedetails/939-Coast-Blvd-15BC-La-Jolla-CA-92037/2082616689_zpid/","939 Coast Blvd #15BC, La Jolla, CA 92037","BARRY ESTATES","$3.90M","3","bds","4","ba","3,778","sqft","Sold 09/23/2021","https://www.zillow.com/homedetails/939-Coast-Blvd-15BC-La-Jolla-CA-92037/2082616689_zpid/","https://photos.zillowstatic.com/fp/30fa70501ad41389c272a69ac39d02b6-p_e.jpg","Save this home","- Sold"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7242 Olivetas Ave, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,442""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7242 Olivetas Ave"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.835632,""longitude"":-117.27897},""url"":""https://www.zillow.com/homedetails/7242-Olivetas-Ave-La-Jolla-CA-92037/16849340_zpid/""}","https://www.zillow.com/homedetails/7242-Olivetas-Ave-La-Jolla-CA-92037/16849340_zpid/","7242 Olivetas Ave, La Jolla, CA 92037","$3.90M","- Sold","3","bds","3","ba","2,442","sqft","Sold 02/24/2022","https://www.zillow.com/homedetails/7242-Olivetas-Ave-La-Jolla-CA-92037/16849340_zpid/","https://photos.zillowstatic.com/fp/fa715c9d264d2e0a9ecaeac67661b3c9-p_e.jpg","Save this home","BERKSHIRE HATHAWAY HOMESERVICE"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""1021 Avenida Amantea, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,786""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""1021 Avenida Amantea"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.817856,""longitude"":-117.262955},""url"":""https://www.zillow.com/homedetails/1021-Avenida-Amantea-La-Jolla-CA-92037/16855547_zpid/""}","https://www.zillow.com/homedetails/1021-Avenida-Amantea-La-Jolla-CA-92037/16855547_zpid/","1021 Avenida Amantea, La Jolla, CA 92037","$3.80M","- Sold","3","bds","2","ba","1,786","sqft","Sold 04/07/2022","https://www.zillow.com/homedetails/1021-Avenida-Amantea-La-Jolla-CA-92037/16855547_zpid/","https://photos.zillowstatic.com/fp/7646bdf70c0edecc00a77f7841dde6a6-p_e.jpg","Save this home","COLDWELL BANKER WEST"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5518 Bellevue Ave, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,234""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5518 Bellevue Ave"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.813656,""longitude"":-117.264496},""url"":""https://www.zillow.com/homedetails/5518-Bellevue-Ave-La-Jolla-CA-92037/16855970_zpid/""}","https://www.zillow.com/homedetails/5518-Bellevue-Ave-La-Jolla-CA-92037/16855970_zpid/","5518 Bellevue Ave, La Jolla, CA 92037","$3.80M","- Sold","3","bds","3","ba","2,234","sqft","Sold 03/25/2022","https://www.zillow.com/homedetails/5518-Bellevue-Ave-La-Jolla-CA-92037/16855970_zpid/","https://photos.zillowstatic.com/fp/f391fbbe16c6bfd955602a28e2d5ed28-p_e.jpg","Save this home","BERKSHIRE HATHAWAY HOMESERVICE"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7960 La Jota Way, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,295""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7960 La Jota Way"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.851204,""longitude"":-117.260414},""url"":""https://www.zillow.com/homedetails/7960-La-Jota-Way-La-Jolla-CA-92037/16839189_zpid/""}","https://www.zillow.com/homedetails/7960-La-Jota-Way-La-Jolla-CA-92037/16839189_zpid/","7960 La Jota Way, La Jolla, CA 92037","$3.75M","- Sold","3","bds","3","ba","3,295","sqft","Sold 12/08/2020","https://www.zillow.com/homedetails/7960-La-Jota-Way-La-Jolla-CA-92037/16839189_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.85120391845703,-117.26041412353516&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=hNMlcLyJOik7rbzFTI4tN57Uapc=","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6722 Vista Del Mar Ave Unit 6, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,889""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6722 Vista Del Mar Ave UNIT 6"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.828926,""longitude"":-117.27977},""url"":""https://www.zillow.com/homedetails/6722-Vista-Del-Mar-Ave-UNIT-6-La-Jolla-CA-92037/123745876_zpid/""}","https://www.zillow.com/homedetails/6722-Vista-Del-Mar-Ave-UNIT-6-La-Jolla-CA-92037/123745876_zpid/","6722 Vista Del Mar Ave UNIT 6, La Jolla, CA 92037","$3.75M","- Sold","3","bds","3","ba","1,889","sqft","Sold 04/22/2021","https://www.zillow.com/homedetails/6722-Vista-Del-Mar-Ave-UNIT-6-La-Jolla-CA-92037/123745876_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.82892608642578,-117.27976989746094&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=VNdsbn4d7E8Nsa-8hhXLrsqsW7w=","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""366 Prospect St, La Jolla, CA 92037"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,780""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""366 Prospect St"",""addressLocality"":""La Jolla"",""addressRegion"":""CA"",""postalCode"":""92037""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.841373,""longitude"":-117.27982},""url"":""https://www.zillow.com/homedetails/366-Prospect-St-La-Jolla-CA-92037/54655609_zpid/""}","https://www.zillow.com/homedetails/366-Prospect-St-La-Jolla-CA-92037/54655609_zpid/","366 Prospect St, La Jolla, CA 92037","$3.72M","- Sold","3","bds","3","ba","2,780","sqft","Sold 11/02/2021","https://www.zillow.com/homedetails/366-Prospect-St-La-Jolla-CA-92037/54655609_zpid/","https://photos.zillowstatic.com/fp/9e267c78d9cee22a9b6f1f61fe7bee75-p_e.jpg","Save this home","COMPASS"
