"ListItem-c11n-8-85-1__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 2","price","StyledPropertyCardDataArea-c11n-8-85-1__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-85-1__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-85-1__sc-6gojrl-0","Image-c11n-8-85-1__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-85-1__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2929 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,999""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2929 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2929-Via-Alta-Pl-San-Diego-CA-92108/305156765_zpid/""}","https://www.zillow.com/homedetails/2929-Via-Alta-Pl-San-Diego-CA-92108/305156765_zpid/","2929 Via Alta Pl, San Diego, CA 92108","EXP REALTY","$1.65M","- Sold","3","bds","3","ba","1,999","sqft","Sold 06/28/2022","https://photos.zillowstatic.com/fp/1ef97e7b0fb47c22a612d44b7731d573-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8346 Ridge Ct, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,229""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8346 Ridge Ct"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78323,""longitude"":-117.149025},""url"":""https://www.zillow.com/homedetails/8346-Ridge-Ct-San-Diego-CA-92108/241609132_zpid/""}","https://www.zillow.com/homedetails/8346-Ridge-Ct-San-Diego-CA-92108/241609132_zpid/","8346 Ridge Ct, San Diego, CA 92108","COLDWELL BANKER WEST","$1.65M","- Sold","3","bds","4","ba","2,229","sqft","Sold 02/16/2022","https://photos.zillowstatic.com/fp/23d1622f6a0fc905f469ad7c269b2e42-p_e.jpg","Save this home"
"","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8331 Ridge Ct, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,179""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8331 Ridge Ct"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78323,""longitude"":-117.149025},""url"":""https://www.zillow.com/homedetails/8331-Ridge-Ct-San-Diego-CA-92108/241609130_zpid/""}","https://www.zillow.com/homedetails/8331-Ridge-Ct-San-Diego-CA-92108/241609130_zpid/","8331 Ridge Ct, San Diego, CA 92108","$1.56M","- Sold","","3","bds","3.5","ba","2,179","sqft","Sold 02/28/2022","https://photos.zillowstatic.com/fp/7d8ed0942c394708df4f288ba83a7a91-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2450 Community Ln #18, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,945""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2450 Community Ln #18"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.77921,""longitude"":-117.14554},""url"":""https://www.zillow.com/homedetails/2450-Community-Ln-18-San-Diego-CA-92108/333211936_zpid/""}","https://www.zillow.com/homedetails/2450-Community-Ln-18-San-Diego-CA-92108/333211936_zpid/","2450 Community Ln #18, San Diego, CA 92108","SURTERRE PROPERTIES, INC","$1.55M","- Sold","3","bds","3","ba","1,945","sqft","Sold 09/01/2022","https://photos.zillowstatic.com/fp/a1ea82cba0c00b8758383cba07675de7-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8631 Aspect Dr, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,656""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8631 Aspect Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.781124,""longitude"":-117.14794},""url"":""https://www.zillow.com/homedetails/8631-Aspect-Dr-San-Diego-CA-92108/250193548_zpid/""}","https://www.zillow.com/homedetails/8631-Aspect-Dr-San-Diego-CA-92108/250193548_zpid/","8631 Aspect Dr, San Diego, CA 92108","COMPASS","$1.52M","- Sold","3","bds","2","ba","1,656","sqft","Sold 09/22/2022","https://photos.zillowstatic.com/fp/5714b9c284b0facfb4758cf0cddeddc5-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8330 Summit Way, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,092""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8330 Summit Way"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78323,""longitude"":-117.149025},""url"":""https://www.zillow.com/homedetails/8330-Summit-Way-San-Diego-CA-92108/241610228_zpid/""}","https://www.zillow.com/homedetails/8330-Summit-Way-San-Diego-CA-92108/241610228_zpid/","8330 Summit Way, San Diego, CA 92108","COMPASS","$1.45M","- Sold","3","bds","4","ba","2,092","sqft","Sold 09/28/2022","https://photos.zillowstatic.com/fp/5de630a0d58f18dff2a8d06b39352810-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2732 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,774""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2732 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2732-Via-Alta-Pl-San-Diego-CA-92108/333210018_zpid/""}","https://www.zillow.com/homedetails/2732-Via-Alta-Pl-San-Diego-CA-92108/333210018_zpid/","2732 Via Alta Pl, San Diego, CA 92108","WASKO REALTY","$1.41M","- Sold","3","bds","4","ba","1,774","sqft","Sold 04/06/2022","https://photos.zillowstatic.com/fp/263a65bd6c0100dc8aeb92758c1d97d6-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2622 Avella Dr, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,124""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2622 Avella Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/2622-Avella-Dr-San-Diego-CA-92108/2070170835_zpid/""}","https://www.zillow.com/homedetails/2622-Avella-Dr-San-Diego-CA-92108/2070170835_zpid/","2622 Avella Dr, San Diego, CA 92108","COMPASS","$1.40M","- Sold","3","bds","4","ba","2,124","sqft","Sold 12/13/2021","https://photos.zillowstatic.com/fp/17c13a5d1e879cf63700dd5962bc1a75-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2866 Via Alta Pl, San Diego, CA 92108"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,015""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2866 Via Alta Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92108""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.78317,""longitude"":-117.145065},""url"":""https://www.zillow.com/homedetails/2866-Via-Alta-Pl-San-Diego-CA-92108/305156559_zpid/""}","https://www.zillow.com/homedetails/2866-Via-Alta-Pl-San-Diego-CA-92108/305156559_zpid/","2866 Via Alta Pl, San Diego, CA 92108","EXP REALTY OF CALIFORNIA INC","$1.35M","- Sold","3","bds","3","ba","2,015","sqft","Sold 03/10/2022","https://photos.zillowstatic.com/fp/480fbe94f2ffd2156e64d31ccc1d6cfd-p_e.jpg","Save this home"
