"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","price","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3545 Pardee Pl, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""624""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3545 Pardee Pl"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.701653,""longitude"":-117.11784},""url"":""https://www.zillow.com/homedetails/3545-Pardee-Pl-San-Diego-CA-92113/17086173_zpid/""}","https://www.zillow.com/homedetails/3545-Pardee-Pl-San-Diego-CA-92113/17086173_zpid/","3545 Pardee Pl, San Diego, CA 92113","$400,000","- Sold","2","bds","1","ba","624","sqft","Sold 03/11/2021","https://www.zillow.com/homedetails/3545-Pardee-Pl-San-Diego-CA-92113/17086173_zpid/","https://photos.zillowstatic.com/fp/3866fa21551256e8736a8d0b634224d4-p_e.jpg","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4042 Delta St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""576""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4042 Delta St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.68907,""longitude"":-117.10714},""url"":""https://www.zillow.com/homedetails/4042-Delta-St-San-Diego-CA-92113/17092928_zpid/""}","https://www.zillow.com/homedetails/4042-Delta-St-San-Diego-CA-92113/17092928_zpid/","4042 Delta St, San Diego, CA 92113","$400,000","- Sold","2","bds","1","ba","576","sqft","Sold 05/29/2020","https://www.zillow.com/homedetails/4042-Delta-St-San-Diego-CA-92113/17092928_zpid/","https://photos.zillowstatic.com/fp/d5002f8a999b82e316ea0e6ed28b66ec-p_e.jpg","Save this home","SEACOAST REALTY GROUP"
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3545 Pardee Pl #0, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""626""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3545 Pardee Pl #0"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.701653,""longitude"":-117.11784},""url"":""https://www.zillow.com/homedetails/3545-Pardee-Pl-0-San-Diego-CA-92113/2077628746_zpid/""}","https://www.zillow.com/homedetails/3545-Pardee-Pl-0-San-Diego-CA-92113/2077628746_zpid/","3545 Pardee Pl #0, San Diego, CA 92113","SAN DIEGO REAL ESTATE & LOANS","$400,000","2","bds","1","ba","626","sqft","Sold 03/11/2021","https://www.zillow.com/homedetails/3545-Pardee-Pl-0-San-Diego-CA-92113/2077628746_zpid/","https://photos.zillowstatic.com/fp/a2b9a0a658f79ff0e22ec9bfd0016c1b-p_e.jpg","Save this home","- Sold"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4410 Delta St Apt 27, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,056""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4410 Delta St APT 27"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.689644,""longitude"":-117.099365},""url"":""https://www.zillow.com/homedetails/4410-Delta-St-APT-27-San-Diego-CA-92113/17093056_zpid/""}","https://www.zillow.com/homedetails/4410-Delta-St-APT-27-San-Diego-CA-92113/17093056_zpid/","4410 Delta St APT 27, San Diego, CA 92113","$399,000","- Sold","2","bds","3","ba","1,056","sqft","Sold 02/17/2023","https://www.zillow.com/homedetails/4410-Delta-St-APT-27-San-Diego-CA-92113/17093056_zpid/","https://photos.zillowstatic.com/fp/8b2e11391642195fb0670a006325be27-p_e.jpg","Save this home","ACROPOLIS ENTERPRISE"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4433 Mayberry St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""866""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4433 Mayberry St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.691578,""longitude"":-117.09916},""url"":""https://www.zillow.com/homedetails/4433-Mayberry-St-San-Diego-CA-92113/17092827_zpid/""}","https://www.zillow.com/homedetails/4433-Mayberry-St-San-Diego-CA-92113/17092827_zpid/","4433 Mayberry St, San Diego, CA 92113","$392,000","- Sold","2","bds","2","ba","866","sqft","Sold 08/27/2021","https://www.zillow.com/homedetails/4433-Mayberry-St-San-Diego-CA-92113/17092827_zpid/","https://photos.zillowstatic.com/fp/581818cf9b73b26efe3af067cbd6bbb1-p_e.jpg","Save this home","BIG BLOCK REALTY, INC."
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""514 Sicard St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""884""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""514 Sicard St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.699978,""longitude"":-117.13486},""url"":""https://www.zillow.com/homedetails/514-Sicard-St-San-Diego-CA-92113/17075155_zpid/""}","https://www.zillow.com/homedetails/514-Sicard-St-San-Diego-CA-92113/17075155_zpid/","514 Sicard St, San Diego, CA 92113","$390,000","- Sold","2","bds","1","ba","884","sqft","Sold 02/04/2021","https://www.zillow.com/homedetails/514-Sicard-St-San-Diego-CA-92113/17075155_zpid/","https://photos.zillowstatic.com/fp/801ec3432c0d1ee41faefc8cce8db125-p_e.jpg","Save this home","CITYMARK REALTY"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4172 Franklin Ave, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""680""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4172 Franklin Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.70148,""longitude"":-117.10489},""url"":""https://www.zillow.com/homedetails/4172-Franklin-Ave-San-Diego-CA-92113/17087245_zpid/""}","https://www.zillow.com/homedetails/4172-Franklin-Ave-San-Diego-CA-92113/17087245_zpid/","4172 Franklin Ave, San Diego, CA 92113","$390,000","- Sold","2","bds","1","ba","680","sqft","Sold 08/12/2022","https://www.zillow.com/homedetails/4172-Franklin-Ave-San-Diego-CA-92113/17087245_zpid/","https://photos.zillowstatic.com/fp/a136557c2ab9be5cfc580da2ed361cc0-p_e.jpg","Save this home","DERRICK LUCKETT, BROKER"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3706 Florence St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""885""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3706 Florence St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.698303,""longitude"":-117.1144},""url"":""https://www.zillow.com/homedetails/3706-Florence-St-San-Diego-CA-92113/17086527_zpid/""}","https://www.zillow.com/homedetails/3706-Florence-St-San-Diego-CA-92113/17086527_zpid/","3706 Florence St, San Diego, CA 92113","$386,000","- Sold","2","bds","1","ba","885","sqft","Sold 09/07/2020","https://www.zillow.com/homedetails/3706-Florence-St-San-Diego-CA-92113/17086527_zpid/","https://photos.zillowstatic.com/fp/854aacac2cd2ed7aa1eec084e2268bab-p_e.jpg","Save this home","CRM FINANCIAL SERVICES"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""829 Dominion St, San Diego, CA 92113"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""964""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""829 Dominion St"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92113""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.697292,""longitude"":-117.10097},""url"":""https://www.zillow.com/homedetails/829-Dominion-St-San-Diego-CA-92113/17092378_zpid/""}","https://www.zillow.com/homedetails/829-Dominion-St-San-Diego-CA-92113/17092378_zpid/","829 Dominion St, San Diego, CA 92113","$385,000","- Sold","2","bds","1","ba","964","sqft","Sold 05/13/2020","https://www.zillow.com/homedetails/829-Dominion-St-San-Diego-CA-92113/17092378_zpid/","https://photos.zillowstatic.com/fp/21db8c3484668eb347ae4cbe7c238ba1-p_e.jpg","Save this home","MICHELE S. PORTER, BROKER"
