"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5161 Renaissance Ave Unit C, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,967""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5161 Renaissance Ave UNIT C"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.86568,""longitude"":-117.20577},""url"":""https://www.zillow.com/homedetails/5161-Renaissance-Ave-UNIT-C-San-Diego-CA-92122/16837839_zpid/""}","https://www.zillow.com/homedetails/5161-Renaissance-Ave-UNIT-C-San-Diego-CA-92122/16837839_zpid/","5161 Renaissance Ave UNIT C, San Diego, CA 92122","REALTY SOURCE, INC","$1.42M","- Sold","2","bds","3","ba","1,967","sqft","Sold 05/26/2022","https://www.zillow.com/homedetails/5161-Renaissance-Ave-UNIT-C-San-Diego-CA-92122/16837839_zpid/","https://photos.zillowstatic.com/fp/96162723763b1358a6aa9e9337b9089a-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5161 Renaissance Ave Unit A, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,101""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5161 Renaissance Ave UNIT A"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.86568,""longitude"":-117.20577},""url"":""https://www.zillow.com/homedetails/5161-Renaissance-Ave-UNIT-A-San-Diego-CA-92122/16837837_zpid/""}","https://www.zillow.com/homedetails/5161-Renaissance-Ave-UNIT-A-San-Diego-CA-92122/16837837_zpid/","5161 Renaissance Ave UNIT A, San Diego, CA 92122","BERKSHIRE HATHAWAY HOMESERVICE","$1.20M","- Sold","2","bds","3","ba","2,101","sqft","Sold 02/21/2023","https://www.zillow.com/homedetails/5161-Renaissance-Ave-UNIT-A-San-Diego-CA-92122/16837837_zpid/","https://photos.zillowstatic.com/fp/8d24095bd259796abfa0ee06a1540d82-p_e.jpg","Save this home"
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4419 Caminito Sana Unit 4, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,758""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4419 Caminito Sana UNIT 4"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.86371,""longitude"":-117.21029},""url"":""https://www.zillow.com/homedetails/4419-Caminito-Sana-UNIT-4-San-Diego-CA-92122/16837454_zpid/""}","https://www.zillow.com/homedetails/4419-Caminito-Sana-UNIT-4-San-Diego-CA-92122/16837454_zpid/","4419 Caminito Sana UNIT 4, San Diego, CA 92122","COMPASS","$1.14M","- Sold","2","bds","3","ba","1,758","sqft","Sold 02/10/2023","https://www.zillow.com/homedetails/4419-Caminito-Sana-UNIT-4-San-Diego-CA-92122/16837454_zpid/","https://photos.zillowstatic.com/fp/2c41d602b13c10f1fd9c7b805c1288d5-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3890 Nobel Dr Unit 2003, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,793""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3890 Nobel Dr UNIT 2003"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.868797,""longitude"":-117.22301},""url"":""https://www.zillow.com/homedetails/3890-Nobel-Dr-UNIT-2003-San-Diego-CA-92122/16837330_zpid/""}","https://www.zillow.com/homedetails/3890-Nobel-Dr-UNIT-2003-San-Diego-CA-92122/16837330_zpid/","3890 Nobel Dr UNIT 2003, San Diego, CA 92122","COMPASS","$1.10M","- Sold","2","bds","2","ba","1,793","sqft","Sold 11/22/2021","https://www.zillow.com/homedetails/3890-Nobel-Dr-UNIT-2003-San-Diego-CA-92122/16837330_zpid/","https://photos.zillowstatic.com/fp/c1df7385e78eb29808872c639e1cd3e8-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7134 Caminito Zabala, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,112""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7134 Caminito Zabala"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.85809,""longitude"":-117.22736},""url"":""https://www.zillow.com/homedetails/7134-Caminito-Zabala-San-Diego-CA-92122/16843158_zpid/""}","https://www.zillow.com/homedetails/7134-Caminito-Zabala-San-Diego-CA-92122/16843158_zpid/","7134 Caminito Zabala, San Diego, CA 92122","HOMESMART REALTY WEST","$1.07M","- Sold","2","bds","2","ba","1,112","sqft","Sold 12/15/2021","https://www.zillow.com/homedetails/7134-Caminito-Zabala-San-Diego-CA-92122/16843158_zpid/","https://photos.zillowstatic.com/fp/bffa2de2801a61a20b7e05583c7b8919-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4419 Caminito Sana Unit 3, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,631""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4419 Caminito Sana UNIT 3"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.86371,""longitude"":-117.21029},""url"":""https://www.zillow.com/homedetails/4419-Caminito-Sana-UNIT-3-San-Diego-CA-92122/16837455_zpid/""}","https://www.zillow.com/homedetails/4419-Caminito-Sana-UNIT-3-San-Diego-CA-92122/16837455_zpid/","4419 Caminito Sana UNIT 3, San Diego, CA 92122","OPENDOOR BROKERAGE INC.","$1.06M","- Sold","2","bds","3","ba","1,631","sqft","Sold 11/28/2022","https://www.zillow.com/homedetails/4419-Caminito-Sana-UNIT-3-San-Diego-CA-92122/16837455_zpid/","https://photos.zillowstatic.com/fp/1fbf14602129ee84769e5945a4055d60-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4431 Caminito Sana Unit 1, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,758""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4431 Caminito Sana UNIT 1"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.864067,""longitude"":-117.21014},""url"":""https://www.zillow.com/homedetails/4431-Caminito-Sana-UNIT-1-San-Diego-CA-92122/16837445_zpid/""}","https://www.zillow.com/homedetails/4431-Caminito-Sana-UNIT-1-San-Diego-CA-92122/16837445_zpid/","4431 Caminito Sana UNIT 1, San Diego, CA 92122","CENTURY 21 AWARD","$1.05M","- Sold","2","bds","3","ba","1,758","sqft","Sold 07/15/2022","https://www.zillow.com/homedetails/4431-Caminito-Sana-UNIT-1-San-Diego-CA-92122/16837445_zpid/","https://photos.zillowstatic.com/fp/53ced74d4ddcafcfd44b796b563862a4-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4427 Caminito Sana Unit 1, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,758""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4427 Caminito Sana UNIT 1"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.86371,""longitude"":-117.21029},""url"":""https://www.zillow.com/homedetails/4427-Caminito-Sana-UNIT-1-San-Diego-CA-92122/16837449_zpid/""}","https://www.zillow.com/homedetails/4427-Caminito-Sana-UNIT-1-San-Diego-CA-92122/16837449_zpid/","4427 Caminito Sana UNIT 1, San Diego, CA 92122","CENTURY 21 AWARD","$1.05M","- Sold","2","bds","3","ba","1,758","sqft","Sold 01/20/2022","https://www.zillow.com/homedetails/4427-Caminito-Sana-UNIT-1-San-Diego-CA-92122/16837449_zpid/","https://photos.zillowstatic.com/fp/25c37e9525c6d403b2713ea0f57e9642-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4427 Caminito Sana Unit 1, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,758""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4427 Caminito Sana UNIT 1"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.86371,""longitude"":-117.21029},""url"":""https://www.zillow.com/homedetails/4427-Caminito-Sana-UNIT-1-San-Diego-CA-92122/2067451468_zpid/""}","https://www.zillow.com/homedetails/4427-Caminito-Sana-UNIT-1-San-Diego-CA-92122/2067451468_zpid/","4427 Caminito Sana UNIT 1, San Diego, CA 92122","CENTURY 21 AWARD","$1.05M","- Sold","2","bds","3","ba","1,758","sqft","Sold 01/20/2022","https://www.zillow.com/homedetails/4427-Caminito-Sana-UNIT-1-San-Diego-CA-92122/2067451468_zpid/","https://photos.zillowstatic.com/fp/f4d33c7b9ec2b87cac80ed50bf3d519e-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4431 Caminito Sana Unit 1, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,758""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4431 Caminito Sana UNIT 1"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.864067,""longitude"":-117.21014},""url"":""https://www.zillow.com/homedetails/4431-Caminito-Sana-UNIT-1-San-Diego-CA-92122/2070102129_zpid/""}","https://www.zillow.com/homedetails/4431-Caminito-Sana-UNIT-1-San-Diego-CA-92122/2070102129_zpid/","4431 Caminito Sana UNIT 1, San Diego, CA 92122","CENTURY 21 AWARD","$1.05M","- Sold","2","bds","3","ba","1,758","sqft","Sold 07/15/2022","https://www.zillow.com/homedetails/4431-Caminito-Sana-UNIT-1-San-Diego-CA-92122/2070102129_zpid/","https://photos.zillowstatic.com/fp/c47ba9c23fb92c1ad39f035238b7f79f-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7155 Calabria Ct Unit E, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,619""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7155 Calabria Ct UNIT E"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.864643,""longitude"":-117.203606},""url"":""https://www.zillow.com/homedetails/7155-Calabria-Ct-UNIT-E-San-Diego-CA-92122/16838007_zpid/""}","https://www.zillow.com/homedetails/7155-Calabria-Ct-UNIT-E-San-Diego-CA-92122/16838007_zpid/","7155 Calabria Ct UNIT E, San Diego, CA 92122","BERKSHIRE HATHAWAY HOMESERVICE","$1.05M","- Sold","2","bds","3","ba","1,619","sqft","Sold 07/13/2022","https://www.zillow.com/homedetails/7155-Calabria-Ct-UNIT-E-San-Diego-CA-92122/16838007_zpid/","https://photos.zillowstatic.com/fp/f5f4fa2e7788eb75b45c9cc65b885f26-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8116 Via Kino Unit 4, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,758""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8116 Via Kino UNIT 4"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.864437,""longitude"":-117.21074},""url"":""https://www.zillow.com/homedetails/8116-Via-Kino-UNIT-4-San-Diego-CA-92122/16837403_zpid/""}","https://www.zillow.com/homedetails/8116-Via-Kino-UNIT-4-San-Diego-CA-92122/16837403_zpid/","8116 Via Kino UNIT 4, San Diego, CA 92122","SUNNY COAST REALTY","$1.05M","- Sold","2","bds","3","ba","1,758","sqft","Sold 12/28/2021","https://www.zillow.com/homedetails/8116-Via-Kino-UNIT-4-San-Diego-CA-92122/16837403_zpid/","https://photos.zillowstatic.com/fp/281e5424ab0ed68387e3d09f5f769a90-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4429 Via Precipicio, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,491""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4429 Via Precipicio"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.868748,""longitude"":-117.2099},""url"":""https://www.zillow.com/homedetails/4429-Via-Precipicio-San-Diego-CA-92122/16836814_zpid/""}","https://www.zillow.com/homedetails/4429-Via-Precipicio-San-Diego-CA-92122/16836814_zpid/","4429 Via Precipicio, San Diego, CA 92122","COMPASS","$1.04M","- Sold","2","bds","3","ba","1,491","sqft","Sold 03/01/2022","https://www.zillow.com/homedetails/4429-Via-Precipicio-San-Diego-CA-92122/16836814_zpid/","https://photos.zillowstatic.com/fp/a0704369813182580b6b2e1a0a41b7c1-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""7125 Calabria Ct Unit B, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,619""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""7125 Calabria Ct UNIT B"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.864643,""longitude"":-117.203606},""url"":""https://www.zillow.com/homedetails/7125-Calabria-Ct-UNIT-B-San-Diego-CA-92122/16837990_zpid/""}","https://www.zillow.com/homedetails/7125-Calabria-Ct-UNIT-B-San-Diego-CA-92122/16837990_zpid/","7125 Calabria Ct UNIT B, San Diego, CA 92122","BERKSHIRE HATHAWAY HOMESERVICE","$1.04M","- Sold","2","bds","3","ba","1,619","sqft","Sold 08/12/2022","https://www.zillow.com/homedetails/7125-Calabria-Ct-UNIT-B-San-Diego-CA-92122/16837990_zpid/","https://photos.zillowstatic.com/fp/245893647b23cbbda707b8c094ee5e73-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5562 Renaissance Ave #1, San Diego, CA 92122"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,092""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5562 Renaissance Ave #1"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92122""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.869324,""longitude"":-117.20575},""url"":""https://www.zillow.com/homedetails/5562-Renaissance-Ave-1-San-Diego-CA-92122/16838343_zpid/""}","https://www.zillow.com/homedetails/5562-Renaissance-Ave-1-San-Diego-CA-92122/16838343_zpid/","5562 Renaissance Ave #1, San Diego, CA 92122","JANET KING, BROKER","$1.01M","- Sold","2","bds","2","ba","1,092","sqft","Sold 02/09/2022","https://www.zillow.com/homedetails/5562-Renaissance-Ave-1-San-Diego-CA-92122/16838343_zpid/","https://photos.zillowstatic.com/fp/541924ac6227aad5a1ab4d0c9210c89f-p_e.jpg","Save this home"
