"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","price","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","property-card-link href","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2737 Via Alta Pl #4, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,584""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2737 Via Alta Pl #4"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.782654,""longitude"":-117.14507},""url"":""https://www.zillow.com/homedetails/2737-Via-Alta-Pl-4-San-Diego-CA-92123/2076823112_zpid/""}","https://www.zillow.com/homedetails/2737-Via-Alta-Pl-4-San-Diego-CA-92123/2076823112_zpid/","2737 Via Alta Pl #4, San Diego, CA 92123","TNHC REALTY AND CONSTRUCTION","$1.10M","- Sold","2","bds","2","ba","1,584","sqft","Sold 01/22/2021","https://www.zillow.com/homedetails/2737-Via-Alta-Pl-4-San-Diego-CA-92123/2076823112_zpid/","https://photos.zillowstatic.com/fp/92e3db28aef9af67fba9d07c003a68d6-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2664 Meadow Lark Dr, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,435""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2664 Meadow Lark Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.789944,""longitude"":-117.15475},""url"":""https://www.zillow.com/homedetails/2664-Meadow-Lark-Dr-San-Diego-CA-92123/17200518_zpid/""}","https://www.zillow.com/homedetails/2664-Meadow-Lark-Dr-San-Diego-CA-92123/17200518_zpid/","2664 Meadow Lark Dr, San Diego, CA 92123","BIG BLOCK REALTY, INC.","$966,400","- Sold","2","bds","2","ba","1,435","sqft","Sold 09/01/2022","https://www.zillow.com/homedetails/2664-Meadow-Lark-Dr-San-Diego-CA-92123/17200518_zpid/","https://photos.zillowstatic.com/fp/e4da34e48976079907fb91ceef55d47a-p_e.jpg","Save this home"
"","","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2740 Via Alta Pl #113, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,411""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2740 Via Alta Pl #113"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/2740-Via-Alta-Pl-113-San-Diego-CA-92123/2071335705_zpid/""}","https://www.zillow.com/homedetails/2740-Via-Alta-Pl-113-San-Diego-CA-92123/2071335705_zpid/","2740 Via Alta Pl #113, San Diego, CA 92123","TNHC REALTY AND CONSTRUCTION","$948,900","- Sold","2","bds","3","ba","1,411","sqft","Sold 06/11/2021","https://www.zillow.com/homedetails/2740-Via-Alta-Pl-113-San-Diego-CA-92123/2071335705_zpid/","https://photos.zillowstatic.com/fp/f08f1a0cfb4972a448396d72f0bee3bc-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4990 Juneberry Ct, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,695""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4990 Juneberry Ct"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.827274,""longitude"":-117.13583},""url"":""https://www.zillow.com/homedetails/4990-Juneberry-Ct-San-Diego-CA-92123/63775393_zpid/""}","https://www.zillow.com/homedetails/4990-Juneberry-Ct-San-Diego-CA-92123/63775393_zpid/","4990 Juneberry Ct, San Diego, CA 92123","CENTURY 21 AWARD","$862,500","- Sold","2","bds","3","ba","1,695","sqft","Sold 05/24/2022","https://www.zillow.com/homedetails/4990-Juneberry-Ct-San-Diego-CA-92123/63775393_zpid/","https://photos.zillowstatic.com/fp/954a74b505d41e2846d34d47173649c2-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""4914 Paramount Dr, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,600""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""4914 Paramount Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.827274,""longitude"":-117.13583},""url"":""https://www.zillow.com/homedetails/4914-Paramount-Dr-San-Diego-CA-92123/63775407_zpid/""}","https://www.zillow.com/homedetails/4914-Paramount-Dr-San-Diego-CA-92123/63775407_zpid/","4914 Paramount Dr, San Diego, CA 92123","PACIFIC KEYS REALTY","$855,000","- Sold","2","bds","3","ba","1,600","sqft","Sold 05/12/2022","https://www.zillow.com/homedetails/4914-Paramount-Dr-San-Diego-CA-92123/63775407_zpid/","https://photos.zillowstatic.com/fp/8e26d4e647fd916e5f09a43ddbaae4c6-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""8982 Spectrum Center Blvd, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,695""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""8982 Spectrum Center Blvd"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.827274,""longitude"":-117.13583},""url"":""https://www.zillow.com/homedetails/8982-Spectrum-Center-Blvd-San-Diego-CA-92123/63775425_zpid/""}","https://www.zillow.com/homedetails/8982-Spectrum-Center-Blvd-San-Diego-CA-92123/63775425_zpid/","8982 Spectrum Center Blvd, San Diego, CA 92123","WESTWIND REALTY","$850,000","- Sold","2","bds","3","ba","1,695","sqft","Sold 09/02/2022","https://www.zillow.com/homedetails/8982-Spectrum-Center-Blvd-San-Diego-CA-92123/63775425_zpid/","https://photos.zillowstatic.com/fp/0c1bc8c559054955a8b9d3cb698c2cb9-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9771 W Canyon Ter Unit 2, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,261""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9771 W Canyon Ter UNIT 2"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.80273,""longitude"":-117.11753},""url"":""https://www.zillow.com/homedetails/9771-W-Canyon-Ter-UNIT-2-San-Diego-CA-92123/16933524_zpid/""}","https://www.zillow.com/homedetails/9771-W-Canyon-Ter-UNIT-2-San-Diego-CA-92123/16933524_zpid/","9771 W Canyon Ter UNIT 2, San Diego, CA 92123","","$849,000","- Sold","2","bds","2.5","ba","1,261","sqft","Sold 03/16/2022","https://www.zillow.com/homedetails/9771-W-Canyon-Ter-UNIT-2-San-Diego-CA-92123/16933524_zpid/","https://maps.googleapis.com/maps/api/streetview?size=575x242&location=32.802730560302734,-117.1175308227539&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=qpNN4cWzpMlPiVUBA-5KMGho5bI=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9771 W Canyon Ter W #2, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,261""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9771 W Canyon Ter W #2"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/9771-W-Canyon-Ter-W-2-San-Diego-CA-92123/2066237902_zpid/""}","https://www.zillow.com/homedetails/9771-W-Canyon-Ter-W-2-San-Diego-CA-92123/2066237902_zpid/","9771 W Canyon Ter W #2, San Diego, CA 92123","CENTURY 21 AWARD","$849,000","- Sold","2","bds","3","ba","1,261","sqft","Sold 03/16/2022","https://www.zillow.com/homedetails/9771-W-Canyon-Ter-W-2-San-Diego-CA-92123/2066237902_zpid/","https://photos.zillowstatic.com/fp/2c0bd8a3ed4e74cacba34fb91ca2ac9b-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9659 W Canyon Ter Unit 1, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,169""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9659 W Canyon Ter UNIT 1"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.802246,""longitude"":-117.11873},""url"":""https://www.zillow.com/homedetails/9659-W-Canyon-Ter-UNIT-1-San-Diego-CA-92123/16933498_zpid/""}","https://www.zillow.com/homedetails/9659-W-Canyon-Ter-UNIT-1-San-Diego-CA-92123/16933498_zpid/","9659 W Canyon Ter UNIT 1, San Diego, CA 92123","MELISSA GOLDSTEIN TUCCI","$795,000","- Sold","2","bds","2","ba","1,169","sqft","Sold 05/03/2022","https://www.zillow.com/homedetails/9659-W-Canyon-Ter-UNIT-1-San-Diego-CA-92123/16933498_zpid/","https://photos.zillowstatic.com/fp/4eae033104275708f0d7496726b665d7-p_e.jpg","Save this home"
