"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","price","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3172 W Canyon Ave, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,356""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3172 W Canyon Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.800785,""longitude"":-117.12022},""url"":""https://www.zillow.com/homedetails/3172-W-Canyon-Ave-San-Diego-CA-92123/16933332_zpid/""}","https://www.zillow.com/homedetails/3172-W-Canyon-Ave-San-Diego-CA-92123/16933332_zpid/","3172 W Canyon Ave, San Diego, CA 92123","$1.50M","- Sold","3","bds","2.5","ba","2,356","sqft","Sold 08/03/2022","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=32.800785064697266,-117.1202163696289&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=NbO0ypmiJ_odgw6QhoYLH7_guyE=","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2750 W Canyon Ave, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,264""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2750 W Canyon Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.797447,""longitude"":-117.119415},""url"":""https://www.zillow.com/homedetails/2750-W-Canyon-Ave-San-Diego-CA-92123/16931502_zpid/""}","https://www.zillow.com/homedetails/2750-W-Canyon-Ave-San-Diego-CA-92123/16931502_zpid/","2750 W Canyon Ave, San Diego, CA 92123","$1.37M","- Sold","3","bds","3","ba","2,264","sqft","Sold 11/10/2022","https://photos.zillowstatic.com/fp/1c201a6333a18df25bae4ecf11a063e5-p_e.jpg","Save this home",""
"","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2405 Mammoth Dr, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,252""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2405 Mammoth Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.789223,""longitude"":-117.122284},""url"":""https://www.zillow.com/homedetails/2405-Mammoth-Dr-San-Diego-CA-92123/16933245_zpid/""}","https://www.zillow.com/homedetails/2405-Mammoth-Dr-San-Diego-CA-92123/16933245_zpid/","2405 Mammoth Dr, San Diego, CA 92123","COMPASS","$1.35M","3","bds","2","ba","2,252","sqft","Sold 12/20/2021","https://photos.zillowstatic.com/fp/8ea3218d9acfe990f6e00c2ead0bf859-p_e.jpg","Save this home","- Sold"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3176 W Canyon Ave, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,918""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3176 W Canyon Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.800663,""longitude"":-117.120605},""url"":""https://www.zillow.com/homedetails/3176-W-Canyon-Ave-San-Diego-CA-92123/16933330_zpid/""}","https://www.zillow.com/homedetails/3176-W-Canyon-Ave-San-Diego-CA-92123/16933330_zpid/","3176 W Canyon Ave, San Diego, CA 92123","$1.30M","- Sold","3","bds","3","ba","1,918","sqft","Sold 04/11/2022","https://photos.zillowstatic.com/fp/3be3db698542f97dd503be0cca6b867c-p_e.jpg","Save this home","SKOGLIN REAL ESTATE, INC."
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2908 W Canyon Ave, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,166""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2908 W Canyon Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.79939,""longitude"":-117.12},""url"":""https://www.zillow.com/homedetails/2908-W-Canyon-Ave-San-Diego-CA-92123/16931513_zpid/""}","https://www.zillow.com/homedetails/2908-W-Canyon-Ave-San-Diego-CA-92123/16931513_zpid/","2908 W Canyon Ave, San Diego, CA 92123","$1.25M","- Sold","3","bds","3","ba","2,166","sqft","Sold 10/17/2022","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=32.79938888549805,-117.12000274658203&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=Skv03lNxjkMQJ2y1vu7i6R6aJIA=","Save this home",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2436 Eileen Dr, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,100""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2436 Eileen Dr"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.788864,""longitude"":-117.12659},""url"":""https://www.zillow.com/homedetails/2436-Eileen-Dr-San-Diego-CA-92123/16932580_zpid/""}","https://www.zillow.com/homedetails/2436-Eileen-Dr-San-Diego-CA-92123/16932580_zpid/","2436 Eileen Dr, San Diego, CA 92123","$1.25M","- Sold","3","bds","2","ba","1,100","sqft","Sold 03/21/2022","https://photos.zillowstatic.com/fp/fcf39cca9414f8f53aa012b83d0d624a-p_e.jpg","Save this home","RIAZATI REAL ESTATE"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""2908 W Canyon Ave W, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,166""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""2908 W Canyon Ave W"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/2908-W-Canyon-Ave-W-San-Diego-CA-92123/2061909229_zpid/""}","https://www.zillow.com/homedetails/2908-W-Canyon-Ave-W-San-Diego-CA-92123/2061909229_zpid/","2908 W Canyon Ave W, San Diego, CA 92123","$1.25M","- Sold","3","bds","3","ba","2,166","sqft","Sold 10/17/2022","https://photos.zillowstatic.com/fp/e2b886b1046d868c1116e3e84f5bed1c-p_e.jpg","Save this home","BIG BLOCK REALTY, INC."
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9162 Fermi Ave, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,450""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9162 Fermi Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.798607,""longitude"":-117.12956},""url"":""https://www.zillow.com/homedetails/9162-Fermi-Ave-San-Diego-CA-92123/16931761_zpid/""}","https://www.zillow.com/homedetails/9162-Fermi-Ave-San-Diego-CA-92123/16931761_zpid/","9162 Fermi Ave, San Diego, CA 92123","$1.21M","- Sold","3","bds","2","ba","1,450","sqft","Sold 03/24/2022","https://photos.zillowstatic.com/fp/ec3aedf2d8023820622421ab29b00ab8-p_e.jpg","Save this home","CA-RES"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""9142 Irvington Ave, San Diego, CA 92123"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""1,935""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""9142 Irvington Ave"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92123""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.795002,""longitude"":-117.1298},""url"":""https://www.zillow.com/homedetails/9142-Irvington-Ave-San-Diego-CA-92123/16932012_zpid/""}","https://www.zillow.com/homedetails/9142-Irvington-Ave-San-Diego-CA-92123/16932012_zpid/","9142 Irvington Ave, San Diego, CA 92123","$1.20M","- Sold","3","bds","2","ba","1,935","sqft","Sold 12/02/2022","https://photos.zillowstatic.com/fp/cb35a24250a5773d2d22e30dd28df6e7-p_e.jpg","Save this home","ADAM JONES REAL ESTATE"
