"ListItem-c11n-8-82-3__sc-10e22w8-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 href","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 2","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 3","StyledPropertyCardDataArea-c11n-8-82-3__sc-yipmu-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 2","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 3","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 4","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 5","StyledPropertyCardHomeDetailsList-c11n-8-82-3__sc-1xvdaej-0 6","StyledPropertyCardBadge-c11n-8-82-3__sc-6gojrl-0","Image-c11n-8-82-3__sc-1rtmhsc-0 src","StyledButtonIcon-c11n-8-82-3__sc-wpcbcc-1"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5268 Grand Del Mar Way Unit 1, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,484""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5268 Grand Del Mar Way UNIT 1"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org""},""url"":""https://www.zillow.com/homedetails/5268-Grand-Del-Mar-Way-UNIT-1-San-Diego-CA-92130/2066989049_zpid/""}","https://www.zillow.com/homedetails/5268-Grand-Del-Mar-Way-UNIT-1-San-Diego-CA-92130/2066989049_zpid/","5268 Grand Del Mar Way UNIT 1, San Diego, CA 92130","PACIFIC SOTHEBY'S INT'L REALTY","$4.70M","- Sold","3","bds","4","ba","3,484","sqft","Sold 05/01/2022","https://photos.zillowstatic.com/fp/cf44fc60e4f7544a44cc033241ff862c-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""6931 The Preserve Way, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""4,620""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""6931 The Preserve Way"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.94211,""longitude"":-117.17183},""url"":""https://www.zillow.com/homedetails/6931-The-Preserve-Way-San-Diego-CA-92130/99575785_zpid/""}","https://www.zillow.com/homedetails/6931-The-Preserve-Way-San-Diego-CA-92130/99575785_zpid/","6931 The Preserve Way, San Diego, CA 92130","KELLER WILLIAMS REALTY","$3.72M","- Sold","3","bds","4","ba","4,620","sqft","Sold 09/17/2021","https://photos.zillowstatic.com/fp/767add4e6da615496a924a4b2a73c3c4-p_e.jpg","Save this home"
"","","","","","","","","","","","","","",""
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5119 Bareback Sq, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,362""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5119 Bareback Sq"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.975105,""longitude"":-117.208755},""url"":""https://www.zillow.com/homedetails/5119-Bareback-Sq-San-Diego-CA-92130/16767487_zpid/""}","https://www.zillow.com/homedetails/5119-Bareback-Sq-San-Diego-CA-92130/16767487_zpid/","5119 Bareback Sq, San Diego, CA 92130","WILLIS ALLEN REAL ESTATE","$3.20M","- Sold","3","bds","4","ba","3,362","sqft","Sold 09/21/2022","https://photos.zillowstatic.com/fp/36273f61c49007176a0744170ec40aea-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""14105 Caminito Vistana, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,831""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""14105 Caminito Vistana"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.972664,""longitude"":-117.157555},""url"":""https://www.zillow.com/homedetails/14105-Caminito-Vistana-San-Diego-CA-92130/49423230_zpid/""}","https://www.zillow.com/homedetails/14105-Caminito-Vistana-San-Diego-CA-92130/49423230_zpid/","14105 Caminito Vistana, San Diego, CA 92130","","$3.20M","- Sold","3","bds","3.5","ba","3,831","sqft","Sold 04/05/2022","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=32.97266387939453,-117.15755462646484&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=WwWI77OT22fme2GJSbu_MKRvQ4I=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""3959 Arroyo Sorrento Rd, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""2,883""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""3959 Arroyo Sorrento Rd"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.92752,""longitude"":-117.23016},""url"":""https://www.zillow.com/homedetails/3959-Arroyo-Sorrento-Rd-San-Diego-CA-92130/16775337_zpid/""}","https://www.zillow.com/homedetails/3959-Arroyo-Sorrento-Rd-San-Diego-CA-92130/16775337_zpid/","3959 Arroyo Sorrento Rd, San Diego, CA 92130","","$3.10M","- Sold","3","bds","3","ba","2,883","sqft","Sold 06/27/2022","https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=32.927520751953125,-117.23016357421875&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=QzlOIaLGW3zgWUR5uclG_4kJJgE=","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""14007 Caminito Vistana, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,831""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""14007 Caminito Vistana"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.97235,""longitude"":-117.16475},""url"":""https://www.zillow.com/homedetails/14007-Caminito-Vistana-San-Diego-CA-92130/51079163_zpid/""}","https://www.zillow.com/homedetails/14007-Caminito-Vistana-San-Diego-CA-92130/51079163_zpid/","14007 Caminito Vistana, San Diego, CA 92130","BIG BLOCK REALTY, INC","$3.01M","- Sold","3","bds","4","ba","3,831","sqft","Sold 12/06/2021","https://photos.zillowstatic.com/fp/a544864ffe152be211615792d89508f9-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""14130 Steeple Chase Row, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,210""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""14130 Steeple Chase Row"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.97602,""longitude"":-117.20648},""url"":""https://www.zillow.com/homedetails/14130-Steeple-Chase-Row-San-Diego-CA-92130/16767430_zpid/""}","https://www.zillow.com/homedetails/14130-Steeple-Chase-Row-San-Diego-CA-92130/16767430_zpid/","14130 Steeple Chase Row, San Diego, CA 92130","PACIFIC SOTHEBY'S INT'L REALTY","$2.95M","- Sold","3","bds","5","ba","3,210","sqft","Sold 04/25/2022","https://photos.zillowstatic.com/fp/395947d7f82ea024510442d8ca799faa-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""5240 Triple Crown Row, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,290""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""5240 Triple Crown Row"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.973553,""longitude"":-117.207306},""url"":""https://www.zillow.com/homedetails/5240-Triple-Crown-Row-San-Diego-CA-92130/16767510_zpid/""}","https://www.zillow.com/homedetails/5240-Triple-Crown-Row-San-Diego-CA-92130/16767510_zpid/","5240 Triple Crown Row, San Diego, CA 92130","BERKSHIRE HATHAWAY HOMESERVICE","$2.91M","- Sold","3","bds","4","ba","3,290","sqft","Sold 04/27/2022","https://photos.zillowstatic.com/fp/3693f4cc51972952f16dde6b9b4c9b7d-p_e.jpg","Save this home"
"{""@type"":""SingleFamilyResidence"",""@context"":""http://schema.org"",""name"":""14330 Avenida Palizada, San Diego, CA 92130"",""floorSize"":{""@type"":""QuantitativeValue"",""@context"":""http://schema.org"",""value"":""3,022""},""address"":{""@type"":""PostalAddress"",""@context"":""http://schema.org"",""streetAddress"":""14330 Avenida Palizada"",""addressLocality"":""San Diego"",""addressRegion"":""CA"",""postalCode"":""92130""},""geo"":{""@type"":""GeoCoordinates"",""@context"":""http://schema.org"",""latitude"":32.97665,""longitude"":-117.203804},""url"":""https://www.zillow.com/homedetails/14330-Avenida-Palizada-San-Diego-CA-92130/16767578_zpid/""}","https://www.zillow.com/homedetails/14330-Avenida-Palizada-San-Diego-CA-92130/16767578_zpid/","14330 Avenida Palizada, San Diego, CA 92130","BERKSHIRE HATHAWAY HOMESERVICE","$2.75M","- Sold","3","bds","3","ba","3,022","sqft","Sold 10/11/2022","https://photos.zillowstatic.com/fp/c519693a3869964e224330c937debd70-p_e.jpg","Save this home"
